2020-03-13--2020-03-20,2020-03-13--2020-03-20,2020-03-20--2020-03-27,2020-03-20--2020-03-27,2020-03-27--2020-04-03,2020-03-27--2020-04-03,2020-04-03--2020-04-10,2020-04-03--2020-04-10,2020-04-10--2020-04-17,2020-04-10--2020-04-17,2020-04-17--2020-04-24,2020-04-17--2020-04-24,2020-04-24--2020-05-01,2020-04-24--2020-05-01,2020-05-01--2020-05-08,2020-05-01--2020-05-08,2020-05-08--2020-05-15,2020-05-08--2020-05-15,2020-05-15--2020-05-22,2020-05-15--2020-05-22,2020-05-22--2020-05-29,2020-05-22--2020-05-29,2020-05-29--2020-06-05,2020-05-29--2020-06-05,2020-06-05--2020-06-12,2020-06-05--2020-06-12,2020-06-12--2020-06-19,2020-06-12--2020-06-19
The Box,"12,987,027",Blinding Lights,"13,245,312",Blinding Lights,"10,808,299",Toosie Slide,"16,560,687",Toosie Slide,"12,704,036",Toosie Slide,"10,460,797",THE SCOTTS,"18,915,488",THE SCOTTS,"12,864,147",ROCKSTAR (feat. Roddy Ricch),"11,199,622",ROCKSTAR (feat. Roddy Ricch),"12,175,320",ROCKSTAR (feat. Roddy Ricch),"12,053,320",ROCKSTAR (feat. Roddy Ricch),"11,547,908",ROCKSTAR (feat. Roddy Ricch),"11,215,442",ROCKSTAR (feat. Roddy Ricch),"9,137,331"
Myron,"9,163,134",The Box,"11,358,240",The Box,"10,548,673",The Box,"10,147,636",Blueberry Faygo,"9,810,213",ROCKSTAR (feat. Roddy Ricch),"9,768,678",Righteous,"11,865,922",Toosie Slide,"11,648,985",THE SCOTTS,"10,453,442",THE SCOTTS,"9,458,216",Rain On Me (with Ariana Grande),"11,451,945",Rain On Me (with Ariana Grande),"7,990,998",Party Girl,"7,817,373",Party Girl,"8,299,048"
Blueberry Faygo,"8,043,475",In Your Eyes,"9,191,899",Blueberry Faygo,"9,374,246",Blinding Lights,"10,108,556",Blinding Lights,"9,542,185",Blueberry Faygo,"9,522,253",Toosie Slide,"8,951,031",Pain 1993 (with Playboi Carti),"10,082,722",Stuck with U (with Justin Bieber),"9,873,515",Blueberry Faygo,"8,153,838",THE SCOTTS,"8,748,399",THE SCOTTS,"7,371,910",Blueberry Faygo,"7,083,891",Blinding Lights,"7,106,720"
Blinding Lights,"7,744,570",After Hours,"7,937,050",Turks (feat. Travis Scott),"8,502,704",Blueberry Faygo,"10,026,095",The Box,"9,413,533",Blinding Lights,"9,033,938",Blueberry Faygo,"8,847,895",ROCKSTAR (feat. Roddy Ricch),"10,028,561",GOOBA,"9,557,313",Blinding Lights,"7,752,167",Blinding Lights,"7,619,182",Party Girl,"7,152,600",THE SCOTTS,"6,869,432",Blueberry Faygo,"7,031,241"
P2,"7,366,169",Blueberry Faygo,"7,896,554",Don't Start Now,"7,458,752",FIND MY WAY,"6,782,424",Roses - Imanbek Remix,"6,682,276",The Box,"8,675,712",ROCKSTAR (feat. Roddy Ricch),"8,650,518",Savage Remix (feat. Beyoncé),"8,965,215",Toosie Slide,"8,252,387",Toosie Slide,"7,186,601",Blueberry Faygo,"7,525,365",Blueberry Faygo,"6,997,297",Blinding Lights,"6,798,177",The Bigger Picture,"7,003,129"
That Way - Bonus Track,"7,137,420",Heartless,"7,524,984",Say So,"6,289,374",Roses - Imanbek Remix,"6,711,902",WHATS POPPIN,"6,211,241",Roses - Imanbek Remix,"6,389,361",Blinding Lights,"8,613,330",Blueberry Faygo,"8,489,106",Blueberry Faygo,"8,119,694",GOOBA,"6,798,540",Party Girl,"6,749,121",Blinding Lights,"6,933,510",Toosie Slide,"5,970,667",THE SCOTTS,"6,667,886"
Say So,"6,743,360",Alone Again,"7,175,842",Roses - Imanbek Remix,"6,173,107",Don't Start Now,"6,471,152",Say So,"5,988,910",WHATS POPPIN,"6,300,831",The Box,"8,078,179",Blinding Lights,"8,412,384",Blinding Lights,"7,927,766",The Box,"6,762,054",The Box,"6,554,738",Toosie Slide,"6,587,408",The Box,"5,905,090",WHATS POPPIN,"6,196,835"
Bean (Kobe) [feat. Chief Keef],"6,500,099",Scared To Live,"7,158,441",WHATS POPPIN,"6,101,909",WHATS POPPIN,"6,390,818",Don't Start Now,"5,970,144",@ MEH,"6,233,724",goosebumps,"6,351,723",The Box,"7,745,369",The Box,"6,950,524",Party Girl,"6,014,642",Toosie Slide,"6,553,316",Sour Candy (with BLACKPINK),"6,161,071",WHATS POPPIN,"5,885,083",Watermelon Sugar,"6,054,204"
WHATS POPPIN,"6,492,241",Hardest To Love,"7,076,826",Savage,"5,816,607",Say So,"6,105,460",death bed (coffee for your head) (feat. beabadoobee),"5,688,823",Say So,"5,769,078",Roses - Imanbek Remix,"6,306,455",Righteous,"7,615,715",Savage Remix (feat. Beyoncé),"6,219,413",Roses - Imanbek Remix,"5,983,552",WHATS POPPIN,"5,862,814",The Box,"6,072,349",Rain On Me (with Ariana Grande),"5,770,527",The Box,"5,798,161"
Baby Pluto,"6,332,498",Too Late,"6,854,135",Intentions (feat. Quavo),"5,686,330",Savage,"6,024,206",Savage,"5,682,361",Don't Start Now,"5,536,860",WHATS POPPIN,"6,042,451",Chicago Freestyle (feat. Giveon),"7,480,929",Righteous,"6,150,958",Stuck with U (with Justin Bieber),"5,952,929",Savage Remix (feat. Beyoncé),"5,836,416",Tell Me U Luv Me (with Trippie Redd),"5,649,011",Savage Remix (feat. Beyoncé),"5,255,486",Toosie Slide,"5,772,529"
